Question,Answer
Where is Clark's based?,"Clarks is an American-owned and operated company. Our founder, Paul Clark, fell in love with woodworking. After making some beautiful heirloom cutting boards, he set out to find the very best food safe oil and wax to preserv his pieces. "
Where are Clark's products made?,"Our products our proudly made in the USA! Specifically they are made on Bainbridge Island near Seattle, Washington."
Are your products vegan?,"At Clark's, all of our oils are suitable for vegans. However, it's important to note that our wax is made from beeswax, which may not be preferred by certain individuals who adhere to a vegan lifestyle."
Do you test on animals?,We are proud to confirm that we do not conduct any animal testing.
What is your best selling product?,Our Cutting Board Oil & Wax Applicator
What is your Cutting Board Oil & Wax Applicator made of?,"Our applicator is made from hardwood maple, the applicator is sleek, stylish, and gets the job done! Our applicator’s ergonomic handle is designed to fit perfectly in your hand and makes it easy and quick to attain lasting results on a variety of wood products."
What are the benefits of using your applicator?,"Help reduce waste and mess - You will no longer need to throw away paper towels and cleaning rags after each wax or oil application, simply store your applicator until you are ready to use it again! 

Applies a smooth and consistent finish - When you’re putting quality wax or oil on a cutting board you need a stiffer sponge to get an even application. This makes the whole process easier and less time consuming.

Ergonomic handle - Specifically contoured to the shape of your hand, making product application a breeze!"
What is your best selling cutting board care?,"Our Cutting Board Oil, enriched with lemon and orange."
How is your Cutting Board oil made?,"Our cutting board oil is made through a process called fractionation of coconut oil. This process involves heating and melting the coconut oil, without the use of any chemicals. It is a purely natural process that results in a liquid form of oil at regular temperatures."
Is you Cutting Board Oil FDA approved?,"Yes, our CLARK'S Coconut Cutting Board Oil is made from food-grade coconut oil that is listed in the FDA inventory of Food Contact Substances, as stated in Title 21 of the U.S. Code of Federal Regulations. This means that the coconut oil used in our product meets the standards set by the FDA for materials that come into contact with food."
Is your Soapstone Slate & Concrete Wax suitable for all stone?,"Yes, our Soapstone Slate & Concrete Wax is suitable for use on all types of porous stone, including slate. It is specifically formulated to provide protection and enhance the appearance of such stones. You can confidently use the wax on your slate and other porous stone surfaces."
How do I clean the Cutting Board Oil & Wax Applicator?,"If the applicator becomes dirty, you can clean it with soap and water in the sink. Simply wash it thoroughly, ensuring that any accumulated oil or wax is removed. However, if there is only a small amount of residual oil or wax left on the applicator, you can choose to leave it as is for the next use."
How should I store my Cutting Board oil?,"To ensure the longevity of our cutting board oil, we recommend storing it in a cool, dry, and dark place. This will help maintain its quality and extend its shelf life."
